FID,station,Lat,Lon,regarea,Stn_type,stn_type_n,RCA,MPA,MPA_name,comments
0,2336,53.913800000000002,-130.185700000000000,2B,expansion,2,0,0, ,
1,2337,54.810499999999998,-130.263299999999990,2B,expansion,2,0,0, ,
2,2338,51.480499999999999,-127.586699999999990,2B,expansion,2,0,0, ,
3,2339,50.865499999999997,-125.650200000000000,2B,expansion,2,0,0, ,
4,2340,50.628000000000000,-126.353800000000010,2B,expansion,2,0,0, ,
5,2341,49.642699999999998,-126.451300000000000,2B,expansion,2,0,0, ,
6,2342,50.456499999999998,-127.944200000000000,2B,expansion,2,0,0, ,
7,2001,48.333333330000002,234.366666700000000,2B,standard,1,0,0, ,
8,2002,48.333333330000002,234.116666700000000,2B,standard,1,0,0, ,
9,2003,48.500000000000000,234.616666700000000,2B,standard,1,0,0, ,
10,2004,48.500000000000000,234.366666700000000,2B,standard,1,0,0, ,
11,2005,48.500000000000000,234.116666700000000,2B,standard,1,0,0, ,
12,2006,48.500000000000000,233.866666700000000,2B,standard,1,0,0, ,
13,2007,48.666666669999998,234.883333300000000,2B,standard,1,0,0, ,
14,2008,48.666666669999998,234.616666700000000,2B,standard,1,0,0, ,
15,2009,48.666666669999998,234.366666700000000,2B,standard,1,0,0, ,
16,2010,48.666666669999998,234.116666700000000,2B,standard,1,0,0, ,
17,2011,48.666666669999998,233.866666700000000,2B,standard,1,0,0, ,
18,2012,48.833333330000002,234.383333300000000,2B,standard,1,0,0, ,
19,2013,48.833333330000002,234.116666700000000,2B,standard,1,0,0, ,
20,2014,48.833333330000002,233.866666700000000,2B,standard,1,0,0, ,
21,2015,48.833333330000002,233.616666700000000,2B,standard,1,0,0, ,
22,2016,49.000000000000000,233.866666700000000,2B,standard,1,0,0, ,
23,2017,49.000000000000000,233.616666700000000,2B,standard,1,0,0, ,
24,2018,49.000000000000000,233.366666700000000,2B,standard,1,0,0, ,
25,2019,49.166666669999998,233.616666700000000,2B,standard,1,0,0, ,
26,2020,49.166666669999998,233.366666700000000,2B,standard,1,0,0, ,
27,2021,49.166666669999998,233.116666700000000,2B,standard,1,0,0, ,
28,2023,49.333333330000002,233.616666700000000,2B,standard,1,0,0, ,
29,2024,49.333333330000002,233.366666700000000,2B,standard,1,1,0, ,
30,2025,49.333333330000002,233.116666700000000,2B,standard,1,0,0, ,
31,2026,49.333333330000002,232.849999999999990,2B,standard,1,0,0, ,
32,2027,49.500000000000000,233.366666700000000,2B,standard,1,0,0, ,
33,2028,49.500000000000000,233.116666700000000,2B,standard,1,0,0, ,
34,2029,49.500000000000000,232.849999999999990,2B,standard,1,0,0, ,
35,2030,49.666666669999998,232.849999999999990,2B,standard,1,0,0, ,
36,2031,49.666666669999998,232.599999999999990,2B,standard,1,0,0, ,
37,2032,49.833333330000002,232.599999999999990,2B,standard,1,0,0, ,
38,2033,49.833333330000002,232.333333299999990,2B,standard,1,0,0, ,
39,2034,50.000000000000000,232.333333299999990,2B,standard,1,0,0, ,
40,2035,50.333333330000002,231.816666700000010,2B,standard,1,0,0, ,
41,2037,50.500000000000000,231.550000000000010,2B,standard,1,0,0, ,
42,2038,50.666666669999998,231.533333300000010,2B,standard,1,0,1,Scott Islands NWA,
43,2039,50.666666669999998,231.266666700000000,2B,standard,1,0,1,Scott Islands NWA,
44,2040,50.833333330000002,231.533333300000010,2B,standard,1,0,1,Scott Islands NWA,
45,2041,51.000000000000000,232.050000000000010,2B,standard,1,0,0, ,
46,2042,51.000000000000000,231.783333300000010,2B,standard,1,0,0, ,
47,2043,51.166666669999998,232.066666700000010,2B,standard,1,0,0, ,
48,2044,50.833333330000002,231.000000000000000,2B,standard,1,0,1,Scott Islands NWA,
49,2045,50.833333330000002,230.733333300000000,2B,standard,1,0,1,Scott Islands NWA,
50,2046,51.000000000000000,231.533333300000010,2B,standard,1,0,1,Scott Islands NWA,
51,2047,51.000000000000000,231.266666700000000,2B,standard,1,0,1,Scott Islands NWA,
52,2048,51.000000000000000,231.000000000000000,2B,standard,1,0,1,Scott Islands NWA,
53,2049,51.000000000000000,230.733333300000000,2B,standard,1,0,1,Scott Islands NWA,
54,2050,51.000000000000000,230.466666699999990,2B,standard,1,0,1,Scott Islands NWA,
55,2051,51.166666669999998,231.800000000000010,2B,standard,1,0,0, ,
56,2052,51.166666669999998,231.533333300000010,2B,standard,1,0,0, ,
57,2053,51.166666669999998,231.266666700000000,2B,standard,1,0,1,Scott Islands NWA,
58,2054,51.166666669999998,231.000000000000000,2B,standard,1,0,1,Scott Islands NWA,
59,2055,51.166666669999998,230.733333300000000,2B,standard,1,0,1,Scott Islands NWA,
60,2056,51.166666669999998,230.466666699999990,2B,standard,1,0,1,Scott Islands NWA,
61,2057,51.333333330000002,232.083333299999990,2B,standard,1,0,0, ,
62,2058,51.333333330000002,231.816666700000010,2B,standard,1,0,0, ,
63,2059,51.333333330000002,231.550000000000010,2B,standard,1,0,0, ,
64,2060,51.333333330000002,231.283333300000010,2B,standard,1,0,1,Hecate MPA,
65,2061,51.333333330000002,231.016666700000000,2B,standard,1,0,1,Hecate MPA,
66,2062,51.333333330000002,230.750000000000000,2B,standard,1,0,0, ,
67,2063,51.333333330000002,230.483333300000000,2B,standard,1,0,0, ,
68,2064,51.333333330000002,230.216666699999990,2B,standard,1,0,0, ,
69,2065,51.500000000000000,231.816666700000010,2B,standard,1,0,0, ,
70,2066,51.500000000000000,231.550000000000010,2B,standard,1,0,0, ,
71,2067,51.500000000000000,231.283333300000010,2B,standard,1,0,0, ,
72,2068,51.500000000000000,231.016666700000000,2B,standard,1,0,0, ,
73,2069,51.500000000000000,230.750000000000000,2B,standard,1,0,0, ,
74,2070,51.500000000000000,230.483333300000000,2B,standard,1,0,0, ,
75,2071,51.500000000000000,230.216666699999990,2B,standard,1,0,0, ,
76,2072,51.500000000000000,229.949999999999990,2B,standard,1,0,0, ,
77,2073,51.666666669999998,231.566666700000010,2B,standard,1,0,0, ,
78,2074,51.666666669999998,231.016666700000000,2B,standard,1,0,0, ,
79,2075,51.666666669999998,230.750000000000000,2B,standard,1,0,0, ,
80,2076,51.666666669999998,230.483333300000000,2B,standard,1,0,0, ,
81,2077,51.666666669999998,230.216666699999990,2B,standard,1,0,0, ,
82,2078,51.833333330000002,231.566666700000010,2B,standard,1,0,0, ,
83,2079,51.833333330000002,231.300000000000010,2B,standard,1,0,0, ,
84,2080,51.833333330000002,231.033333300000010,2B,standard,1,0,0, ,
85,2081,51.833333330000002,230.766666700000000,2B,standard,1,0,0, ,
86,2082,51.833333330000002,230.483333300000000,2B,standard,1,0,0, ,
87,2083,52.000000000000000,231.300000000000010,2B,standard,1,0,0, ,
88,2084,52.000000000000000,231.033333300000010,2B,standard,1,0,0, ,
89,2085,52.000000000000000,230.766666700000000,2B,standard,1,0,0, ,
90,2086,52.166666669999998,231.316666700000010,2B,standard,1,0,0, ,
91,2087,51.666666669999998,229.949999999999990,2B,standard,1,0,0, ,
92,2088,51.666666669999998,229.683333299999990,2B,standard,1,0,0, ,
93,2089,51.833333330000002,230.216666699999990,2B,standard,1,0,0, ,
94,2090,51.833333330000002,229.949999999999990,2B,standard,1,0,0, ,
95,2091,51.833333330000002,229.683333299999990,2B,standard,1,0,0, ,
96,2092,51.833333330000002,229.416666700000010,2B,standard,1,0,0, ,
97,2093,51.833333330000002,229.133333300000000,2B,standard,1,0,0, ,
98,2094,52.000000000000000,230.500000000000000,2B,standard,1,0,1,Hecate MPA,
99,2095,52.000000000000000,230.216666699999990,2B,standard,1,0,0, ,
100,2096,52.000000000000000,229.949999999999990,2B,standard,1,0,0, ,
101,2097,52.000000000000000,229.683333299999990,2B,standard,1,0,0, ,
102,2098,52.000000000000000,229.416666700000010,2B,standard,1,0,0, ,
103,2099,52.000000000000000,229.133333300000000,2B,standard,1,0,1,Gwaii Haanas NMCA,
104,2100,52.166666669999998,231.050000000000010,2B,standard,1,0,0, ,
105,2101,52.166666669999998,230.766666700000000,2B,standard,1,0,0, ,
106,2102,52.166666669999998,230.500000000000000,2B,standard,1,0,1,Hecate MPA,
107,2103,52.166666669999998,230.233333300000000,2B,standard,1,0,0, ,
108,2104,52.166666669999998,229.949999999999990,2B,standard,1,0,0, ,
109,2105,52.166666669999998,229.683333299999990,2B,standard,1,0,0, ,
110,2106,52.166666669999998,229.416666700000010,2B,standard,1,0,0, ,
111,2107,52.166666669999998,229.133333300000000,2B,standard,1,0,1,Gwaii Haanas NMCA,
112,2108,52.333333330000002,230.783333300000010,2B,standard,1,0,0, ,
113,2109,52.333333330000002,230.500000000000000,2B,standard,1,0,1,Hecate MPA,
114,2110,52.333333330000002,230.233333300000000,2B,standard,1,0,1,Hecate MPA,
115,2111,52.333333330000002,229.949999999999990,2B,standard,1,0,0, ,
116,2112,52.333333330000002,229.683333299999990,2B,standard,1,0,0, ,
117,2113,52.333333330000002,229.416666700000010,2B,standard,1,0,0, ,
118,2114,52.333333330000002,229.133333300000000,2B,standard,1,0,0, ,
